name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Muldraugh Police Department,3,Local police department,KY,Meade,Muldraugh,0,0,0,40155,21163
Schoolcraft Police Department,3,Local police department,MI,Kalamazoo,Schoolcraft,0,1,4,49087,26077
Ashland Police Department,3,Local police department,NH,Grafton,Ashland,2,0,1,3217,33009
Dade County Sheriff's Office,3,Sheriff's office,MO,Dade,Greenfield,6,0,1,65661,29057
Meade Police Department,3,Local police department,KS,Meade,Meade,0,0,0,67864,20119
La Crosse Police Department,3,Local police department,KS,Rush,La Crosse,0,0,0,67548,20165
Wiscasset Police Department,3,Local police department,ME,Lincoln,Wiscasset,1,0,10,4578,23015
Mount Pleasant Borough Police Department,3,Local police department,PA,Westmoreland,Mount Pleasant,3,4,12,15666,42129
Moscow Borough Police Department,3,Local police department,PA,Lackawanna,Moscow,0,0,12,18444,42069
Bristol Police Department,3,Local police department,VT,Addison,Bristol,0,1,4,5443,50001
Brownsville Police Department,3,Local police department,KY,Edmonson,Brownsville,0,0,1,42210,21061
Wamac Police Dept,3,Local police department,IL,Marion,Wamac,0,0,6,62801,17121
Winthrop Police Department,3,Local police department,MN,Sibley,Winthrop,0,0,5,55396,27143
Lithopolis Police Department,3,Local police department,OH,Fairfield,Lithopolis,0,0,0,43136,39045
Union Township Police Department,3,Local police department,PA,Lawrence,New Castle,0,0,3,16101,42073
Manawa Police Department,3,Local police department,WI,Waupaca,Manawa,0,0,5,54949,55135
Grand Meadow Police Department,3,Local police department,MN,Mower,Grand Meadow,0,0,0,55936,27099
Garrett Police Department,3,Local police department,TX,Ellis,Garrett,0,0,5,75119,48139
Riesel Police Department,3,Local police department,TX,McLennan,Riesel,1,0,1,76682,48309
Lake Quivira Police Department,3,Local police department,KS,Wyandotte,Lake Quivira,0,0,5,66217,20209
Andrews Police,3,Local police department,IN,Huntington,Andrews,0,1,2,46702,18069
Upper Marlboro Police Department,3,Local police department,MD,Prince Georges,Upper Marlboro,0,0,3,20773,24033
Seiling Police Department,3,Local police department,OK,Dewey,Seiling,0,0,0,73663,40043
Asotin Police Department,3,Local police department,WA,Asotin,Asotin,0,0,2,99402,53003
Van Buren Police Department,3,Local police department,ME,Aroostook,Van Buren,0,0,4,4785,23003
Boonville Village Police Department,3,Local police department,NY,Oneida,Boonville,0,20,4,13309,36065
Port Orford Police Department,3,Local police department,OR,Curry,Port Orford,1,0,2,97465,41015
Tucker County Sheriff's Office,3,Sheriff's office,WV,Tucker,Parsons,0,24,0,26287,54093
Walpole Police Department,3,Local police department,NH,Cheshire,North Walpole,1,0,7,3609,33005
Oakes Police Department,3,Local police department,ND,Dickey,Oakes,1,0,0,58474,38021
Tatum Police Department,3,Local police department,NM,Lea,Tatum,4,1,0,88267,35025
Freemansburg Borough Police Department,3,Local police department,PA,Northampton,Bethlehem,0,0,9,18017,42095
Eutawville Police Department,3,Local police department,SC,Orangeburg,Eutawville,0,0,0,29048,45075
St. Elmo Police Dept,3,Local police department,IL,Fayette,St. Elmo,0,0,1,62458,17051
Bellaire Police Department,3,Local police department,MI,Antrim,Bellaire,0,0,0,49615,26009
Olivet Police Department,3,Local police department,MI,Eaton,Olivet,0,0,2,49076,26045
Carlton Police Department,3,Local police department,OR,Yamhill,Carlton,0,0,1,97111,41071
Edgerton Police Department,3,Local police department,OH,Williams,Edgerton,0,0,6,43517,39171
Canton Borough Police Department,3,Local police department,PA,Bradford,Canton,0,0,5,17724,42015
Charleston Police Department,3,Local police department,TN,Bradley,Charleston,0,0,0,37310,47011
Princeton Police Department,3,Local police department,WI,Green Lake,Princeton,0,0,2,54968,55047
Webster County Sheriff's Office,3,Sheriff's office,MS,Webster,Walthall,1,5,2,39771,28155
Windham Town Police Department,3,Local police department,NY,Greene,Hensonville,0,0,10,12439,36039
Redgranite Police Department,3,Local police department,WI,Waushara,Redgranite,0,0,4,54970,55137
Thetford Police Department,3,Local police department,VT,Orange,Thetford Center,0,0,0,5075,50017
Decatur County Sheriff's Office,3,Sheriff's office,KS,Decatur,Oberlin,0,0,1,67749,20039
Canby Police Department,3,Local police department,MN,Yellow Medicine,Canby,0,0,5,56220,27173
Beverly Police Department,3,Local police department,OH,Washington,Beverly,0,0,5,45715,39167
Elroy Police Department,3,Local police department,WI,Juneau,Elroy,0,1,0,53929,55057
Hessmer Police Department,3,Local police department,LA,Avoyelles,Hessmer,0,0,4,71341,22009
East Penn Township Police Department,3,Local police department,PA,Carbon,Lehighton,0,1,1,18235,42025
Sonora Police Department,3,Local police department,TX,Sutton,Sonora,2,0,1,76950,48435
Metcalfe County Sheriff's Office,3,Sheriff's office,KY,Metcalfe,Edmonton,2,3,0,42129,21169
Hyden Police Department,3,Local police department,KY,Leslie,Hyden,0,0,0,41749,21131
Foxfire Village Police Department,3,Local police department,NC,Moore,Foxfire Village,0,0,1,27281,37125
Haileyville Police Department,3,Local police department,OK,Pittsburg,Haileyville,0,0,1,74546,40121
Danbury Police Department,3,Local police department,TX,Brazoria,Danbury,0,0,0,77534,48039
Akron Police,3,Local police department,IN,Fulton,Akron,0,0,0,46910,18049
Erie Township Police Department,3,Local police department,MI,Monroe,Erie,0,1,2,48133,26115
German Township Police Department,3,Local police department,OH,Clark,Springfield,0,0,9,45504,39023
Hale Center Police Department,3,Local police department,TX,Hale,Hale Center,0,3,3,79041,48189
Gunter Police Department,3,Local police department,TX,Grayson,Gunter,0,0,0,75058,48181
Glenville Police Department,3,Local police department,WV,Gilmer,Glenville,0,0,1,26351,54021
Warren Police Dept,3,Local police department,IL,Jo Daviess,Warren,1,0,9,61087,17085
Minonk Police Dept,3,Local police department,IL,Woodford,Minonk,0,0,6,61760,17203
Walker River Tribal Police Department,3,Local police department,NV,Mineral,Schurz,2,0,0,89427,32021
Mayville Police Department,3,Local police department,ND,Traill,Mayville,0,0,0,58257,38097
Parksley Police Department,3,Local police department,VA,Accomack,Parksley,0,0,1,23421,51001
Springdale/Zion Canyon Police Department,3,Local police department,UT,Washington,Springdale,0,0,1,84767,49053
Hagerman Department of Public Safety,3,Local police department,NM,Torrance,Hagerman,1,0,0,88232,35057
Troy Borough Police Department,3,Local police department,PA,Bradford,Troy,0,0,7,16947,42015
Delta Police Department,3,Local police department,LA,Madison,Delta,0,0,0,71233,22065
Lomira Police Department,3,Local police department,WI,Dodge,Lomira,1,0,5,53048,55027
Gunnison Police Department,3,Local police department,UT,Sanpete,Gunnison,0,1,6,84634,49039
Mustang Ridge Police Department,3,Local police department,TX,Travis,Mustang Ridge,0,0,2,78610,48453
Powder River County Sheriff's Office,3,Sheriff's office,MT,Powder River,Broadus,4,3,1,59317,30075
Tilton Police Dept,3,Local police department,IL,Vermilion,Tilton,0,0,14,61833,17183
Milo Police Department,3,Local police department,ME,Piscataquis,Milo,0,0,6,4463,23021
Fairview Police Department,3,Local police department,MT,Richland,Fairview,0,0,2,59221,30083
Roseville Police Department,3,Local police department,OH,Muskingum,Roseville,0,0,5,43777,39119
Waynoka Police Department,3,Local police department,OK,Woods,Waynoka,0,0,1,73860,40151
Chautauqua County Sheriff's Office,3,Sheriff's office,KS,Chautauqua,Sedan,10,1,0,67,20019
Armstrong County Sheriff's Office,3,Sheriff's office,TX,Armstrong,Claude,0,1,2,79019,48011
Holcomb Police Department,3,Local police department,KS,Finney,Holcomb,1,0,1,67851,20055
Jasco-Metropolitan Police Department,3,Local police department,MO,Jasper,Oronogo,0,0,1,64855,29097
Wymore Police Dept,3,Local police department,NE,Gage,Wymore,0,1,4,68466,31067
Bentleyville Police Department,3,Local police department,OH,Cuyahoga,Chagrin Falls,0,3,13,44022,39035
Tushka Police Department,3,Local police department,OK,Atoka,Tushka,0,0,0,74525,40005
Bayfield Police Department,3,Local police department,WI,Bayfield,Bayfield,0,0,4,54814,55007
Rangeley Police Department,3,Local police department,ME,Franklin,Rangeley,0,0,5,4970,23007
Maringouin Police Department,3,Local police department,LA,Iberville,Maringouin,0,0,0,70757,22047
Sebewaing Police Department,3,Local police department,MI,Huron,Sebewaing,0,0,14,48759,26063
Rutherford Police Department,3,Local police department,TN,Gibson,Rutherford,0,0,4,38369,47053
Buhler Police Department,3,Local police department,KS,Reno,Buhler,0,0,0,67522,20155
Dawson Police Department,3,Local police department,MN,Lac Qui Parle,Dawson,0,0,2,56232,27073
Webb Police Department,3,Local police department,MS,Tallahatchie,Webb,0,0,3,38966,28135
Haskell Police Department,3,Local police department,TX,Haskell,Haskell,0,0,2,79521,48207
Dallam County Sheriff's Office,3,Sheriff's office,TX,Dallam,Dalhart,20,0,0,79022,48111
Breitung Township Police,3,Local police department,MN,St. Louis,Soudan,0,0,4,55782,27137
Stoneville Police Department,3,Local police department,NC,Rockingham,Stoneville,0,0,9,27048,37157
Jackson Center Police Department,3,Local police department,OH,Shelby,Jackson Center,0,4,0,45334,39149
Antwerp Police Department,3,Local police department,OH,Paulding,Antwerp,0,0,4,45813,39125
Muncy Township Police Department,3,Local police department,PA,Lycoming,Muncy,0,0,0,17756,42081
Stratford Police Department,3,Local police department,OK,Garvin,Stratford,1,1,1,74872,40049
Thorntown Police,3,Local police department,IN,Boone,Thorntown,0,0,0,46071,18011
Westville Police Dept,3,Local police department,IL,Vermilion,Westville,0,0,14,61883,17183
Mount Olive Police Dept,3,Local police department,IL,Macoupin,Mount Olive,2,5,7,62069,17117
Neoga Police Dept,3,Local police department,IL,Cumberland,Neoga,0,0,3,62447,17035
Archie Police Department,3,Local police department,MO,Cass,Archie,0,0,3,64725,29037
Avon Police Department,3,Local police department,MN,Stearns,Avon,0,5,2,56310,27145
Camden Police Department,3,Local police department,OH,Preble,Camden,0,0,1,45311,39135
Valliant Police Department,3,Local police department,OK,McCurtain,Valliant,3,1,1,74764,40089
La Villa Police Department,3,Local police department,TX,Hidalgo,La Villa,0,0,1,78562,48215
Tyrone Borough Police Department,3,Local police department,PA,Blair,Tyrone,0,2,15,16686,42013
Warsaw Police Department,3,Local police department,VA,Richmond,Warsaw,0,1,0,22572,51159
Collingsworth County Sheriff's Office,3,Sheriff's office,TX,Collingsworth,Wellington,5,4,2,79095,48087
Okawville Police Dept,3,Local police department,IL,Washington,Okawville,0,0,4,62271,17189
Wheaton Police Department,3,Local police department,MN,Traverse,Wheaton,1,2,1,56296,27155
Union City Borough Police Department,3,Local police department,PA,Erie,Union City,0,1,2,16438,42049
Shepherdstown Police Department,3,Local police department,WV,Jefferson,Shepherdstown,3,0,7,25443,54037
Berkeley Springs Police Department,3,Local police department,WV,Morgan,Berkeley Springs,0,0,3,25411,54065
Bernardston Police Department,3,Local police department,MA,Franklin,Bernardston,0,3,7,1337,25011
Albany Police Department,3,Local police department,LA,Livingston,Albany,0,2,8,70711,22063
Ovid Police Department,3,Local police department,MI,Clinton,Ovid,0,0,3,48866,26037
Middleport Village Police Department,3,Local police department,NY,Niagara,Middleport,0,0,5,14105,36063
Marion Police Department,3,Local police department,WI,Waupaca,Marion,0,1,3,54950,55135
Bon Homme County Sheriff's Office,3,Sheriff's office,SD,Bon Homme,Tyndall,4,1,8,57066,46009
Poplar Police Department,3,Local police department,MT,Roosevelt,Poplar,0,0,2,59255,30085
Spring City Borough Police Department,3,Local police department,PA,Chester,Spring City,1,0,8,19475,42029
Hamilton County Sheriff's Office,3,Sheriff's office,IL,Hamilton,Mc Leansboro,6,1,0,62859,17065
Kingsford Heights Police,3,Local police department,IN,La Porte,Kingsford Heights,0,0,0,46346,18091
Searsport Police Department,3,Local police department,ME,Waldo,Searsport,0,7,0,4974,23027
Litchfield Police Department,3,Local police department,MI,Hillsdale,Litchfield,0,0,3,49252,26059
Hemphill Police Department,3,Local police department,TX,Sabine,Hemphill,0,0,0,75948,48403
Delbarton Police Department,3,Local police department,WV,Mingo,Delbarton,0,0,2,25670,54059
McMullen County Sheriff's Office,3,Sheriff's office,TX,McMullen,Tilden,1,1,0,78072,48311
Kirkland Police Dept,3,Local police department,IL,DeKalb,Kirkland,0,0,6,60146,17037
Sierra College,3,Special jurisdiction,CA,Placer,Rocklin,2,0,10,95677,6061
Liberty County Constable Pct. 6,3,Constable/marshal,TX,Liberty,Cleveland,1,0,0,77327,48291
Delavan Police Dept,3,Local police department,IL,Tazewell,Delavan,0,0,11,61734,17179
Blooming Prairie Police Department,3,Local police department,MN,Steele,Blooming Prairie,0,0,3,55917,27147
Highland Police Dept,3,Local police department,AR,Sharp,Highland,0,0,2,72542,5135
Ransom Canyon Police Department,3,Local police department,TX,Lubbock,Ransom Canyon,0,0,1,79366,48303
Jonesville Police Department,3,Local police department,VA,Lee,Jonesville,0,1,0,24263,51105
Northeast Mississippi Community College Police,3,Special jurisdiction,MS,Prentiss,Booneville,4,3,2,38829,28117
Iola Police Department,3,Local police department,WI,Waupaca,Iola,0,1,3,54945,55135
Brilliant Police Department,3,Local police department,AL,Marion,Brilliant,0,0,1,35548,1093
Eton Police Department,3,Local police department,GA,Murray,Eton,0,0,0,30724,13213
Manly Police Department,3,Local police department,IA,Worth,Manly,0,2,0,50456,19195
Trimble County Sheriff's Office,3,Sheriff's office,KY,Trimble,Bedford,1,2,3,40006,21223
Mount Zion Police Department,3,Local police department,GA,Carroll,Mount Zion,0,13,5,30150,13045
El Paso County Constable Pct. 4,3,Constable/marshal,TX,El Paso,El Paso,0,10,0,79935,48141
Alorton Police Dept,3,Local police department,IL,St. Clair,Alorton,1,1,13,62207,17163
Tiltonsville Police Department,3,Local police department,OH,Jefferson,Tiltonsville,0,0,7,43963,39081
Crestwood Police Dept,3,Local police department,IL,Cook,Crestwood,1,5,58,60445,17031
Miner County Sheriff's Office,3,Sheriff's office,SD,Miner,Howard,1,10,0,57349,46097
Dumas I.S.D. Police Dept.,3,Special jurisdiction,TX,Moore,Dumas,0,0,0,79029,48341
Pima Police Department,3,Local police department,AZ,Graham,Pima,0,0,0,85543,4009
Atchafalaya Basin Levee District Police,3,Special jurisdiction,LA,West Baton Rouge,Port Allen,0,0,0,70767,22121
Hinckley Police Dept,3,Local police department,IL,DeKalb,Hinckley,0,0,7,60520,17037
Energy Police Dept,3,Local police department,IL,Williamson,Energy,19,0,12,62933,17199
Douglas Police Department,3,Local police department,AL,Marshall,Douglas,0,0,4,35964,1095
Capitan Police Department,3,Local police department,NM,Lincoln,Capitan,1,0,0,88316,35027
Forest County Sheriff's Office,3,Sheriff's office,PA,Forest,Tionesta,1,0,4,16353,42053
Berry Police Department,3,Local police department,AL,Fayette,Berry,0,0,1,35546,1057
Tri-County Technical College Dept of Public Safety,3,Special jurisdiction,SC,Anderson,Pendleton,5,0,0,29670,45007
Inglewood Unified School District Police,3,Special jurisdiction,CA,Los Angeles,Inglewood,3,0,5,90301,6037
Wilder Police Department,3,Local police department,ID,Canyon,Wilder,0,1,0,83676,16027
Ragland Police Department,3,Local police department,AL,St. Clair,Ragland,1,0,1,35131,1115
Bedford County District Attorney's Office,3,Special jurisdiction,PA,Bedford,Bedford,4,1,1,15522,42009
Vermont Capitol Police Department,3,Special jurisdiction,VT,Washington,Montpelier,0,0,0,5633,50023
Wallace Community College - Selma Police Dept,3,Special jurisdiction,AL,Dallas,Selma,2,2,0,36702,1047
Jackson County Marshal's Office,3,Constable/marshal,GA,Jackson,Commerce,3,0,0,30529,13157
Nederland Marshal's Office,3,Local police department,CO,Boulder,Nederland,1,1,2,80466,8013
Bell Acres Borough Police Department,3,Local police department,PA,Allegheny,Sewickley,0,0,7,15143,42003
Jesup Police Department,3,Local police department,IA,Buchanan,Jesup,0,0,2,50648,19019
Smyrna Park Rangers,3,Special jurisdiction,GA,Cobb,Smyrna,0,0,0,30081,13067
Atwood Police Dept,3,Local police department,IL,Douglas,Atwood,0,0,13,61913,17041
Sumner Police Department,3,Local police department,IA,Bremer,Sumner,0,0,1,50674,19017
Guyton Police Department,3,Local police department,GA,Effingham,Guyton,1,0,11,31312,13103
Bay Police Department,3,Local police department,AR,Craighead,Bay,0,1,1,72411,5031
Manning Police Department,3,Local police department,IA,Carroll,Manning,0,1,0,51455,19027
Clackamas Community College Dept of Public Safety,3,Special jurisdiction,OR,Clackamas,Oregon City,0,2,2,97045,41005
Austin Police Department,3,Local police department,AR,Lonoke,Austin,0,0,5,72007,5085
Hampton Police Department,3,Local police department,FL,Bradford,Hampton,0,0,7,32044,12007
Victor Police Department,3,Local police department,CO,Teller,Victor,1,0,0,80860,8119
Midway Police Dept.,3,Local police department,GA,Liberty,Midway,1,0,0,31320,13179
Clyde Village Police Department,3,Local police department,NY,Wayne,Clyde,1,0,4,14433,36117
Jefferson County Constable Pct. 4,3,Constable/marshal,TX,Jefferson,Beaumont,1,0,0,77701,48245
Northumberland Police Department,3,Local police department,NH,Coos,Groveton,0,0,10,3582,33007
Hays County Constable Pct. 2,3,Constable/marshal,TX,Hays,Kyle,1,0,1,78640,48209
Smith County Constable Pct. 4,3,Constable/marshal,TX,Smith,Winona,1,0,9,75792,48423
Hardy Police Department,3,Local police department,AR,Sharp,Hardy,0,0,4,72542,5135
Grandview Police Dept,3,Local police department,IL,Sangamon,Springfield,3,0,4,62702,17167
Sealy I.S.D. Police Dept.,3,Special jurisdiction,TX,Austin,Sealy,0,0,0,77474,48015
Patagonia Police Department,3,Local police department,AZ,Santa Cruz,Patagonia,0,0,3,85624,4023
Kenyon Police Department,3,Local police department,MN,Goodhue,Kenyon,0,0,3,55946,27049
Salem Police Department,3,Local police department,AR,Fulton,Salem,0,0,1,72576,5049
Gilman Police Dept,3,Local police department,IL,Iroquois,Gilman,0,0,0,60938,17075
Coppell Marshal's Office,3,Constable/marshal,TX,Dallas,Coppell,0,0,0,75019,48113
Rock County Sheriff's Office,3,Sheriff's office,NE,Rock,Bassett,5,0,2,68714,31149
St. Charles City Parks & Recreation,3,Special jurisdiction,MO,St. Charles,St. Charles,0,6,0,63301,29183
Newton Police Department,3,Local police department,AL,Dale,Newton,1,0,1,36352,1045
Gurdon Police Department,3,Local police department,AR,Clark,Gurdon,0,0,9,71743,5019
Cobden Police Dept,3,Local police department,IL,Union,Cobden,0,0,2,62920,17181
Eustace Police Department,3,Local police department,TX,Henderson,Eustace,1,0,2,75124,48213
Richland Police Department,3,Local police department,GA,Stewart,Richland,0,0,5,31825,13259
Cottondale Police Department,3,Local police department,FL,Jackson,Cottondale,0,0,2,32431,12063
Cloudcroft Police Department,3,Local police department,NM,Otero,Cloudcroft,0,0,0,88317,35035
Floyd County Sheriff's Office,3,Sheriff's office,TX,Floyd,Floydada,4,0,1,79235,48153
Nacogdoches County Constable Pct. 1,3,Constable/marshal,TX,Nacogdoches,Nacogdoches,0,0,8,75961,48347
De Beque Marshall's Office,3,Local police department,CO,Mesa,De Beque,0,0,0,81630,8077
Vincent Police Department,3,Local police department,AL,Shelby,Vincent,0,0,2,35178,1117
Kiowa Police Department,3,Local police department,CO,Elbert,Kiowa,0,0,1,80117,8039
Marlborough Police Department,3,Local police department,CT,Hartford,Marlborough,0,0,1,6447,9003
Forsyth County Fire Investigation Unit,3,Special jurisdiction,GA,Forsyth,Cumming,0,0,3,30040,13117
Iron River Police Department,3,Local police department,WI,Bayfield,Iron River,0,0,0,54847,55007
Hermitage Police Department,3,Local police department,AR,Bradley,Hermitage,0,0,0,71647,5011
Manchester Community College,3,Special jurisdiction,CT,Hartford,Manchester,8,1,0,6045,9003
Alta Police Department,3,Local police department,IA,Buena Vista,Alta,0,1,0,51002,19021
Mitchellville Police Department,3,Local police department,IA,Polk,Mitchellville,0,0,4,50169,19153
Mont Vernon Police Department,3,Local police department,NH,Hillsborough,Mount Vernon,0,1,2,3057,33011
Galva Police Dept,3,Local police department,IL,Henry,Galva,0,1,7,61434,17073
Blades Police Department,3,Local police department,DE,Sussex,Blades,0,0,0,19973,10005
North Richland Hills City Marshal's Office,3,Constable/marshal,TX,Tarrant,North Richland Hills,1,0,0,76180,48439
Lamoni Police Department,3,Local police department,IA,Decatur,Lamoni,0,0,0,50140,19053
Lavaca Police Department,3,Local police department,AR,Sebastian,Lavaca,0,0,5,72941,5131
Madison Police Department,3,Local police department,AR,St. Francis,Madison,1,0,1,72359,5123
North Courtland Police Department,3,Local police department,AL,Lawrence,North Courtland,0,0,5,35618,1079
Tunnel Hill Police Department,3,Local police department,GA,Whitfield,Tunnel Hill,0,0,5,30755,13313
Ogden Police Department,3,Local police department,IA,Boone,Ogden,0,0,3,50212,19015
Leechburg Borough Police Department,3,Local police department,PA,Armstrong,Leechburg,0,0,12,15656,42005
Hays County Constable Pct. 3,3,Constable/marshal,TX,Hays,Wimberley,0,0,0,78676,48209
Waterloo Township Police Department,3,Local police department,MI,Jackson,Munith,0,1,6,49259,26075
Oliver Police Department,3,Local police department,GA,Screven,Oliver,0,0,2,30449,13251
1854 Treaty Authority Tribal Enforcement Division,3,Special jurisdiction,MN,St. Louis,Duluth,0,0,0,55811,27137
Leachville Police Department,3,Local police department,AR,Mississippi,Leachville,0,0,1,72438,5093
Scott County Sheriff's Office,3,Sheriff's office,KS,Scott,Scott City,1,0,1,67871,20171
Nacogdoches County Constable Pct. 4,3,Constable/marshal,TX,Nacogdoches,Nacodoches,0,0,4,75961,48347
West Branch Police Department,3,Local police department,IA,Cedar,West Branch,0,8,0,52358,19031
Royal I.S.D. Police Dept.,3,Special jurisdiction,TX,Waller,Pattison,1,0,0,77466,48473
Longleaf Neuro-Medical Treatment Center Police,3,Special jurisdiction,NC,Wilson,Wilson,0,0,0,27893,37195
Ferndale Police Department,3,Local police department,CA,Humboldt,Ferndale,0,0,1,95536,6023
Kaufman County Constable Pct. 2,3,Constable/marshal,TX,Kaufman,Forney,0,0,1,75126,48257
Brazos County Constable Pct. 3,3,Constable/marshal,TX,Brazos,College Station,1,0,0,77803,48041
Genesee County Parks & Recreation,3,Special jurisdiction,MI,Genesee,Flint,0,0,32,48506,26049
Monroe Police Department,3,Local police department,IA,Jasper,Monroe,0,0,1,50170,19099
Rush Township Police Department,3,Local police department,PA,Schuylkill,Tamaqua,0,0,5,18252,42107
Hudson Police Dept,3,Local police department,IL,McLean,Hudson,0,0,4,61748,17113
Mountain Pine Police Department,3,Local police department,AR,Garland,Mtn. Pine,0,0,1,71956,5051
Howard Lake Police Department,3,Local police department,MN,Wright,Howard Lake,0,0,6,55349,27171
Bedford Police Department,3,Local police department,IA,Taylor,Bedford,0,0,0,50833,19173
Jewell County Sheriff's Office,3,Sheriff's office,KS,Jewell,Mankato,4,0,1,66956,20089
Tulelake Police Department,3,Local police department,CA,Siskiyou,Tulelake,0,0,0,96134,6093
La Veta Marshal's Office,3,Local police department,CO,Huerfano,La Veta,0,0,0,81055,8055
Liberty-Eylau I.S.D. Police Dept.,3,Special jurisdiction,TX,Bowie,Texarkana,0,0,0,75501,48037
Fairplay Police Department,3,Local police department,CO,Park,Fairplay,0,0,6,80440,8093
Georgia Military College Police Dept.,3,Special jurisdiction,GA,Baldwin,Milledgeville,1,10,0,31061,13009
Mar-Mac Police Department,3,Local police department,IA,Clayton,Marquette,0,1,4,52158,19043
Hines Police Department,3,Local police department,OR,Harney,Hines,0,0,0,97738,41025
Southwest Texas Junior College Police,3,Special jurisdiction,TX,Uvalde,Uvalde,0,0,6,78801,48463
Put-In-Bay Police Department,3,Local police department,OH,Ottawa,Put-In-Bay,0,3,35,43456,39123
Tuckerman Police Department,3,Local police department,AR,Jackson,Tuckerman,1,0,3,72473,5067
Ola Police Department,3,Local police department,AR,Yell,Ola,2,0,0,72853,5149
Mancos Marshal's Office,3,Local police department,CO,Montezuma,Mancos,1,0,0,81328,8083
Griggs County Sheriff's Office,3,Sheriff's office,ND,Griggs,Cooperstown,0,0,0,58425,38039
Parkston Police Department,3,Local police department,SD,Hutchinson,Parkston,0,0,1,57366,46067
Santa Rosa I.S.D. Police Dept.,3,Special jurisdiction,TX,Cameron,Santa Rosa,1,0,0,78593,48061
Woodbine Police Department,3,Local police department,IA,Harrison,Woodbine,0,1,0,51579,19085
Albion Police Dept,3,Local police department,IL,Edwards,Albion,0,0,2,62806,17047
Chelsea Police Department,3,Local police department,OK,Rogers,Chelsea,5,0,1,74016,40131
Springfield Police Department,3,Local police department,CO,Baca,Springfield,0,1,3,81073,8009
Mellette County Sheriffs Office,3,Sheriff's office,SD,Mellette,White River,1,0,0,57579,46095
Burns Paiute Tribal Police,3,Local police department,OR,Harney,Burns,0,1,1,97720,41025
Hoonah Dept of Public Safety,3,Local police department,AK,Skagway Hoonah Angoon,Hoonah,3,3,0,99829,2232
Fairmount Police Department,3,Local police department,GA,Gordon,Fairmount,0,0,2,30139,13129
Geraldine Police Department,3,Local police department,AL,DeKalb,Geraldine,1,0,0,35974,1049
Sumrall Police Department,3,Local police department,MS,Lamar,Sumrall,0,0,1,39482,28073
Calhoun Marshal's Office,3,Constable/marshal,GA,Gordon,Calhoun,0,0,0,30703,13129
Bull Shoals Police Department,3,Local police department,AR,Marion,Bull Shoals,0,6,0,72619,5089
Carl Albert State College Campus Police,3,Special jurisdiction,OK,Le Flore,"Poteau,",0,0,2,74953,40079
New Brockton Police Department,3,Local police department,AL,Coffee,New Brockton,1,2,4,36351,1031
Western Texas College Police Dept.,3,Special jurisdiction,TX,Scurry,Snyder,0,1,0,79549,48415
Jerauld County Sheriff's Office,3,Sheriff's office,SD,Jerauld,Wessington Springs,1,0,0,57382,46073
Denver Police Department,3,Local police department,IA,Bremer,Denver,0,0,0,50622,19017
Gilcrest Police Department,3,Local police department,CO,Weld,Gilcrest,0,2,0,80623,8123
Round Lake Area Park District Police,3,Special jurisdiction,IL,Lake,Round Lake,0,7,1,60073,17097
Rawlins County Sheriff's Office,3,Sheriff's office,KS,Rawlins,Atwood,1,0,0,67730,20153
Holyoke Police Department,3,Local police department,CO,Phillips,Holyoke,1,0,1,80734,8095
Lyford C.I.S.D. Police Dept.,3,Special jurisdiction,TX,Willacy,Lyford,0,0,0,78569,48489
Eastern Oklahoma State College Campus Police,3,Special jurisdiction,OK,Latimer,"Wilburton,",0,0,1,74578,40077
University of New Mexico - Gallup Police,3,Special jurisdiction,NM,McKinley,Gallup,1,0,0,87301,35031
Bowman Police Department,3,Local police department,SC,Orangeburg,Bowman,0,0,0,29018,45075
Georgia Forestry Commission,3,Special jurisdiction,GA,Bibb,Macon,0,0,4,31298,13021
Lycoming County Detective Bureau,3,Special jurisdiction,PA,Lycoming,Williamsport,6,0,0,17701,42081
Durant Police Department,3,Local police department,IA,Cedar,Durant,0,0,0,52747,19031
Washington State University - Vancouver Police Department,3,Special jurisdiction,WA,Clark,Vancouver,1,6,1,98686,53011
Leon County Schools Dept. of Safety and Security,3,Special jurisdiction,FL,Leon,Tallahassee,2,2,0,32304,12073
North Dakota State College of Science Police,3,Special jurisdiction,ND,Richland,Wahpeton,0,6,2,58076,38077
Wichita County Constable Pct. 1,3,Constable/marshal,TX,Wichita,Wichita Falls,1,0,1,76301,48485
Hood County Constable Pct. 4,3,Constable/marshal,TX,Hood,Granbury,1,0,0,76048,48221
Smithville Police Department,3,Local police department,GA,Lee,Smithville,1,0,3,31787,13177
Varnell Police Department,3,Local police department,GA,Whitfield,Varnell,1,0,5,30756,13313
Ridgway Police Dept,3,Local police department,CO,Ouray,Ridgway,0,0,0,81432,8091
De Baca County Sheriff's Office,3,Sheriff's office,NM,De Baca,Fort Sumner,0,1,0,88119,35011
Mexia I.S.D. Police Dept.,3,Special jurisdiction,TX,Limestone,Mexia,0,0,0,76667,48293
Connally I.S.D. Police Dept.,3,Special jurisdiction,TX,McLennan,Waco,0,0,1,76705,48309
Keewatin Police Department,3,Local police department,MN,Itasca,Keewatin,0,0,3,55753,27061
Tyronza Police Department,3,Local police department,AR,Poinsett,Tyronza,2,0,0,72386,5111
Hall County Marshal's Office,3,Special jurisdiction,GA,Hall,Gainesville,2,0,0,30503,13139
