name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Polk County Sheriff's Office,600,Sheriff's office,FL,Polk,Bartow,943,243,28,33830,12105
St. Paul Police Department,598,Local police department,MN,Ramsey,St. Paul,191,0,0,55101,27123
Oregon State Police,596,Primary state law enforcement agency,OR,Marion,Salem,361,0,0,97317,41047
Mississippi Highway Safety Patrol,594,Primary state law enforcement agency,MS,Hinds,Jackson,560,0,0,39216,28049
Greensboro Police Department,593,Local police department,NC,Guilford,Greensboro,121,0,24,27402,37081
Calcasieu Parish Sheriff's Office,592,Sheriff's office,LA,Calcasieu,Lake Charles,208,101,0,70602,22019
Cobb County Police Department,590,Local police department,GA,Cobb,Marietta,57,86,1,30060,13067
Los Angeles World Airports Police,577,Special jurisdiction,CA,Los Angeles,Los Angeles,623,0,0,90045,6037
Jefferson County Sheriff's Office,556,Sheriff's office,AL,Jefferson,Birmingham,148,2,0,35203,1073
Henrico County Division of Police,554,Local police department,VA,Henrico,Henrico,189,21,0,23273,51087
Pima County Sheriff's Dept.,554,Sheriff's office,AZ,Pima,Tucson,911,21,0,85714,4019
Lexington Division of Police,549,Local police department,KY,Fayette,Lexington,82,0,0,40507,21067
Prince William County Police Department,546,Local police department,VA,Prince William,Prince William,170,0,0,22192,51153
Jefferson County Sheriff's Office,537,Sheriff's office,CO,Jefferson,Golden,233,10,7,80401,8059
Savannah-Chatham Metropolitan Police Department,534,Local police department,GA,Chatham,Savannah,223,58,0,31412,13051
Gwinnett County Sheriff's Office,531,Sheriff's office,GA,Gwinnett,Lawrenceville,155,6,0,30043,13135
Minnesota State Patrol,530,Primary state law enforcement agency,MN,Ramsey,St. Paul,264,26,0,55101,27123
Passaic County Sheriff's Office,530,Sheriff's office,NJ,Passaic,Wayne,174,0,0,7470,34031
New Mexico State Police,528,Primary state law enforcement agency,NM,Santa Fe,Santa Fe,149,0,0,87507,35049
Bexar County Sheriff's Office,526,Sheriff's office,TX,Bexar,San Antonio,1292,1,0,78207,48029
Arkansas State Police,525,Primary state law enforcement agency,AR,Pulaski,Little Rock,400,0,0,72209,5119
Kansas Highway Patrol,525,Primary state law enforcement agency,KS,Shawnee,Topeka,261,25,0,66603,20177
Milwaukee County Sheriff's Office,524,Sheriff's office,WI,Milwaukee,Milwaukee,1033,0,0,53233,55079
Little Rock Police Department,520,Local police department,AR,Pulaski,Little Rock,120,3,0,72201,5119
Fulton County Sheriff's Office,516,Sheriff's office,GA,Fulton,Atlanta,496,142,12,30303,13121
Shelby County Sheriff's Office,516,Sheriff's office,TN,Shelby,Memphis,1418,4,16,38103,47157
Mobile Police Department,515,Local police department,AL,Mobile,Mobile,166,91,0,36606,1097
Tulare County Sheriff's Office,513,Sheriff's office,CA,Tulare,Visalia,199,0,0,93291,6107
Richland County Sheriff's Office,512,Sheriff's office,SC,Richland,Columbia,58,190,16,29223,45079
Kern County Sheriff's Office,512,Sheriff's office,CA,Kern,Bakersfield,651,86,34,93308,6029
Shreveport Police Department,511,Local police department,LA,Caddo,Shreveport,170,109,0,71101,22017
St. Petersburg Police Department,510,Local police department,FL,Pinellas,St. Petersburg,275,6,14,33705,12103
Winston-Salem Police Department,508,Local police department,NC,Forsyth,Winston-Salem,154,0,5,27102,37067
Orleans Parish Sheriff's Office (Criminal Division),505,Sheriff's office,LA,Orleans,New Orleans,210,0,0,70119,22071
Montgomery Police Department,500,Local police department,AL,Montgomery,Montgomery,155,0,0,36104,1101
Fairfax County Sheriff's Office,499,Sheriff's office,VA,Fairfax,Fairfax,91,0,14,22030,51059
Brevard County Sheriff's Office,497,Sheriff's office,FL,Brevard,Titusville,694,0,1,32780,12009
Paterson Police,497,Local police department,NJ,Passaic,Paterson,96,0,0,7505,34031
Johnson County Sheriff's Office,496,Sheriff's office,KS,Johnson,Olathe,122,10,0,66061,20091
Durham Police Department,494,Local police department,NC,Durham,Durham,101,1,0,27701,37063
Monmouth County Sheriff's Office,494,Sheriff's office,NJ,Monmouth,Freehold,65,6,0,7728,34025
Wisconsin State Patrol,492,Primary state law enforcement agency,WI,Dane,Madison,150,0,0,53707,55025
Nebraska State Patrol,491,Primary state law enforcement agency,NE,Lancaster,Lincoln,203,26,0,68509,31109
Syracuse Police Department,489,Local police department,NY,Onondaga,Syracuse,112,0,0,13202,36067
Pasco County Sheriff's Office,485,Sheriff's office,FL,Pasco,New Port Richey,725,25,5,34654,12101
Providence Police Department,483,Local police department,RI,Providence,Providence,90,0,0,2903,44007
Worcester Police Department,482,Local police department,MA,Worcester,Worcester,48,0,0,1608,25027
Fort Lauderdale Police Department,482,Local police department,FL,Broward,Fort Lauderdale,134,20,28,33312,12011
Jackson Police Department,480,Local police department,MS,Hinds,Jackson,230,0,0,39205,28049
Texas Parks & Wildlife Department,480,Special jurisdiction,TX,Travis,Austin,127,0,0,78744,48453
Manatee County Sheriff's Office,476,Sheriff's office,FL,Manatee,Palmetto,213,0,6,34221,12081
Chesterfield County Police Department,475,Local police department,VA,Chesterfield,Chesterfield,104,38,3,23832,51041
Utah Department of Public Safety,475,Primary state law enforcement agency,UT,Salt Lake,Salt Lake City,35,69,0,84114,49035
Akron Police Department,472,Local police department,OH,Summit,Akron,108,0,0,44308,39153
North Las Vegas Police Department,471,Local police department,NV,Clark,North Las Vegas,275,144,5,89030,32003
Springfield Police Department,464,Local police department,MA,Hampden,Springfield,101,0,0,1105,25013
Fresno County Sheriff's Office,461,Sheriff's office,CA,Fresno,Fresno,663,40,0,93721,6019
Maryland Transportation Authority Police,456,Special jurisdiction,MD,Baltimore,Baltimore,126,0,0,21222,24005
Knox County Sheriff's Office,456,Sheriff's office,TN,Knox,Knoxville,420,80,0,37902,47093
Franklin County Sheriff's Office,455,Sheriff's office,OH,Franklin,Columbus,412,4,0,43215,39049
Dane County Sheriff's Office,454,Sheriff's office,WI,Dane,Madison,101,4,0,53703,55025
El Paso County Sheriff's Office,454,Sheriff's office,CO,El Paso,Colorado Springs,182,3,5,80903,8041
Bergen County Sheriff's Office,452,Sheriff's office,NJ,Bergen,Hackensack,81,4,0,7601,34003
Santa Clara County Sheriff's Office,450,Sheriff's office,CA,Santa Clara,San Jose,195,0,0,95110,6085
Volusia County Sheriff's Office,450,Sheriff's office,FL,Volusia,Deland,317,184,8,32721,12127
Dallas County Sheriff's Office,449,Sheriff's office,TX,Dallas,Dallas,1803,35,102,75207,48113
Tarrant County Sheriff's Office,449,Sheriff's office,TX,Tarrant,Fort Worth,867,2,5,76102,48439
Richmond County Sheriff's Office,449,Sheriff's office,GA,Richmond,Augusta,263,0,0,30901,13245
Corpus Christi Police Department,448,Local police department,TX,Nueces,Corpus Christi,165,0,0,78469,48355
Loudoun County Sheriff's Office,448,Sheriff's office,VA,Loudoun,Leesburg,98,40,0,20175,51107
Fort Wayne Police,447,Local police department,IN,Allen,Fort Wayne,38,0,0,46803,18003
Will County Sheriff's Office,445,Sheriff's office,IL,Will,Joliet,125,0,0,60432,17197
Leon County Sheriff's Office,443,Sheriff's office,FL,Leon,Tallahassee,163,10,25,32302,12073
Washington Metropolitan Area Transit Authority Police,442,Special jurisdiction,DC,District of Columbia,Washington,133,0,0,20001,11001
Caddo Parish Sheriff's Office,440,Sheriff's office,LA,Caddo,Shreveport,227,4,31,71101,22017
Madison Police Department,437,Local police department,WI,Dane,Madison,92,44,0,53703,55025
